,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loc,Etapa a 1-a,Jucator,Meciuri,Victorii,Egaluri,Infrangeri,Golaveraj,,Puncte,,,,,,,Loc,Echipa,Jucător,M,V,E,Î,G,,Pct,,,,,Scorul Campionatului,,,,,,Etapa
11003010.00,1,TUNETUL FC,TUNETUL FC,7,3,2,2,10,7,11,0.0003,11003010.00,,1,19014019,,1,FC COLENTINA,M PANA,7,6,1,0,19,5,19,,,,,FC COJASCA,,,,8-0,,1
10004015.00,2,BOBA JUNIORS,S BOBEICA,7,3,1,3,15,11,10,0.0004,10004015.00,,2,19010012,,2,FC PINALTY,L ALBU,7,6,1,0,12,2,19,,,,,,,,,,,
15007009.00,3,FCEI MAI BUNI,A RADULESCU,7,4,3,0,9,2,15,0.0005,15007009.00,,3,16014020,,3,FC COJASCA ,V PARCALABU,7,5,1,1,20,6,16,,,,,,,,,,,
16011020.00,4,FLAKERS UTD,M CRACIUN,7,5,1,1,20,9,16,0.0006,16011020.00,,4,16012019,,4,FC SONICS,B MILEA,7,5,1,1,19,7,16,,,,,,,,,,,
15015024.00,5,FC TORPILA BUCURESTI,R ENACHESCU,7,5,0,2,24,9,15,0.0007,15015024.00,,5,16011020,,5,FLAKERS UTD,M CRACIUN,7,5,1,1,20,9,16,,,,,,,,,,,
10002015.00,6,FC WIN MASTER,B GHEORGHE,7,2,4,1,15,13,10,0.0008,10002015.00,,6,15015024,,6,FC TORPILA BUCURESTI,R ENACHESCU,7,5,0,2,24,9,15,,,,,,,,,,,
15011018.00,7,MIGHTY MELONS,N BADESCU,7,5,0,2,18,7,15,0.0009,15011018.00,,7,15011018,,7,MIGHTY MELONS,N BADESCU,7,5,0,2,18,7,15,,,,,,,,,,,
16014020.00,8,FC COJASCA ,V PARCALABU,7,5,1,1,20,6,16,0.0010,16014020.00,,8,15007009,,8,FCEI MAI BUNI,A RADULESCU,7,4,3,0,9,2,15,,,,,,,,,,,
12005013.00,9,RAPID FETESTI,P GROZEA,7,4,0,3,13,8,12,0.0011,12005013.00,,9,15002009,,9,SILVA NEGRA,S CORNEANU,7,5,0,2,9,7,15,,,,,,,,,,,
9002012.00,10,FC HERMANSTAR,A IONITA,7,3,0,4,12,10,9,0.0012,9002012.00,,10,12005013,,10,RAPID FETESTI,P GROZEA,7,4,0,3,13,8,12,,,,,,,,,,,
10000007.00,11,CHELSEA PITESTI,B FLUTUREL,7,3,1,3,7,7,10,0.0013,10000007.00,,11,11005013,,11,R.A.F.A.,C MIHALA,7,3,2,2,13,8,11,,,,,,,,,,,
19010012.00,12,FC PINALTY,L ALBU,7,6,1,0,12,2,19,0.0014,19010012.00,,12,11003010,,12,TUNETUL FC,TUNETUL FC,7,3,2,2,10,7,11,,,,,,,,,,,
16012019.00,13,FC SONICS,B MILEA,7,5,1,1,19,7,16,0.0015,16012019.00,,13,10004015,,13,BOBA JUNIORS,S BOBEICA,7,3,1,3,15,11,10,,,,,,,,,,,
15002009.00,14,SILVA NEGRA,S CORNEANU,7,5,0,2,9,7,15,0.0016,15002009.00,,14,10002015,,14,FC WIN MASTER,B GHEORGHE,7,2,4,1,15,13,10,,,,,,,,,,,
19014019.00,15,FC COLENTINA,M PANA,7,6,1,0,19,5,19,0.0017,19014019.00,,15,10000007,,15,CHELSEA PITESTI,B FLUTUREL,7,3,1,3,7,7,10,,,,,,,,,,,
11005013.00,16,R.A.F.A.,C MIHALA,7,3,2,2,13,8,11,0.0018,11005013.00,,16,9002012.001,,16,FC HERMANSTAR,A IONITA,7,3,0,4,12,10,9,,,,,,,,,,,
