,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loc,Etapa a 1-a,Jucator,Meciuri,Victorii,Egaluri,Infrangeri,Golaveraj,,Puncte,,,,,,,Loc,Echipa,Jucător,M,V,E,Î,G,,Pct,,,,,Scorul Campionatului,,,,,,Etapa
40010032.00,1,TUNETUL FC,TUNETUL FC,25,11,7,7,32,22,40,0.0003,40010032.00,,1,61056083,,1,FC TORPILA BUCURESTI,R ENACHESCU,25,20,1,4,83,27,61,,,,,FC TORPILA BUCURESTI,,,,9-0,,18
49029054.00,2,BOBA JUNIORS,S BOBEICA,25,15,4,6,54,25,49,0.0004,49029054.00,,2,58044065,,2,FC COLENTINA,M PANA,25,17,7,1,65,21,58,,,,,,,,,,,
51023047.00,3,FCEI MAI BUNI,A RADULESCU,25,14,9,2,47,24,51,0.0005,51023047.00,,3,58027049,,3,FC PINALTY,L ALBU,25,18,4,3,49,22,58,,,,,,,,,,,
49029055.00,4,FLAKERS UTD,M CRACIUN,25,15,4,6,55,26,49,0.0006,49029055.00,,4,56024049,,4,SILVA NEGRA,S CORNEANU,25,17,5,3,49,25,56,,,,,,,,,,,
61056083.00,5,FC TORPILA BUCURESTI,R ENACHESCU,25,20,1,4,83,27,61,0.0007,61056083.00,,5,51023047,,5,FCEI MAI BUNI,A RADULESCU,25,14,9,2,47,24,51,,,,,,,,,,,
42015051.00,6,FC WIN MASTER,B GHEORGHE,25,11,9,5,51,36,42,0.0008,42015051.00,,6,50029052,,6,R.A.F.A.,C MIHALA,25,15,5,5,52,23,50,,,,,,,,,,,
46026060.00,7,MIGHTY MELONS,N BADESCU,25,15,1,9,60,34,46,0.0009,46026060.00,,7,49029055,,7,FLAKERS UTD,M CRACIUN,25,15,4,6,55,26,49,,,,,,,,,,,
48030057.00,8,FC COJASCA ,V PARCALABU,25,15,3,7,57,27,48,0.0010,48030057.00,,8,49029054,,8,BOBA JUNIORS,S BOBEICA,25,15,4,6,54,25,49,,,,,,,,,,,
49026054.00,9,RAPID FETESTI,P GROZEA,25,15,4,6,54,28,49,0.0011,49026054.00,,9,49026054,,9,RAPID FETESTI,P GROZEA,25,15,4,6,54,28,49,,,,,,,,,,,
47023054.00,10,FC HERMANSTAR,A IONITA,25,15,2,8,54,31,47,0.0012,47023054.00,,10,48030057,,10,FC COJASCA ,V PARCALABU,25,15,3,7,57,27,48,,,,,,,,,,,
44016054.00,11,CHELSEA PITESTI,B FLUTUREL,25,13,5,7,54,38,44,0.0013,44016054.00,,11,47023054,,11,FC HERMANSTAR,A IONITA,25,15,2,8,54,31,47,,,,,,,,,,,
58027049.00,12,FC PINALTY,L ALBU,25,18,4,3,49,22,58,0.0014,58027049.00,,12,46026060,,12,MIGHTY MELONS,N BADESCU,25,15,1,9,60,34,46,,,,,,,,,,,
43016047.00,13,FC SONICS,B MILEA,25,12,7,6,47,31,43,0.0015,43016047.00,,13,44016054,,13,CHELSEA PITESTI,B FLUTUREL,25,13,5,7,54,38,44,,,,,,,,,,,
56024049.00,14,SILVA NEGRA,S CORNEANU,25,17,5,3,49,25,56,0.0016,56024049.00,,14,43016047,,14,FC SONICS,B MILEA,25,12,7,6,47,31,43,,,,,,,,,,,
58044065.00,15,FC COLENTINA,M PANA,25,17,7,1,65,21,58,0.0017,58044065.00,,15,42015051,,15,FC WIN MASTER,B GHEORGHE,25,11,9,5,51,36,42,,,,,,,,,,,
50029052.00,16,R.A.F.A.,C MIHALA,25,15,5,5,52,23,50,0.0018,50029052.00,,16,40010032,,16,TUNETUL FC,TUNETUL FC,25,11,7,7,32,22,40,,,,,,,,,,,
