,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loc,Etapa a 1-a,Jucator,Meciuri,Victorii,Egaluri,Infrangeri,Golaveraj,,Puncte,,,,,,,Loc,Echipa,Jucător,M,V,E,Î,G,,Pct,,,,,Scorul Campionatului,,,,,,Etapa
25008020.00,1,TUNETUL FC,TUNETUL FC,14,7,4,3,20,12,25,0.0003,25008020.00,,1,36029040,,1,FC COLENTINA,M PANA,14,11,3,0,40,11,36,,,,,FC COJASCA,,,,8-0,,1
23010028.00,2,BOBA JUNIORS,S BOBEICA,14,7,2,5,28,18,23,0.0004,23010028.00,,2,34015027,,2,FC PINALTY,L ALBU,14,11,1,2,27,12,34,,,,,,,,,,,
29014023.00,3,FCEI MAI BUNI,A RADULESCU,14,8,5,1,23,9,29,0.0005,29014023.00,,3,33020032,,3,RAPID FETESTI,P GROZEA,14,11,0,3,32,12,33,,,,,,,,,,,
29021035.00,4,FLAKERS UTD,M CRACIUN,14,9,2,3,35,14,29,0.0006,29021035.00,,4,31021040,,4,FC TORPILA BUCURESTI,R ENACHESCU,14,10,1,3,40,19,31,,,,,,,,,,,
31021040.00,5,FC TORPILA BUCURESTI,R ENACHESCU,14,10,1,3,40,19,31,0.0007,31021040.00,,5,30019035,,5,MIGHTY MELONS,N BADESCU,14,10,0,4,35,16,30,,,,,,,,,,,
19006030.00,6,FC WIN MASTER,B GHEORGHE,14,4,7,3,30,24,19,0.0008,19006030.00,,6,30008022,,6,SILVA NEGRA,S CORNEANU,14,9,3,2,22,14,30,,,,,,,,,,,
30019035.00,7,MIGHTY MELONS,N BADESCU,14,10,0,4,35,16,30,0.0009,30019035.00,,7,29021035,,7,FLAKERS UTD,M CRACIUN,14,9,2,3,35,14,29,,,,,,,,,,,
29021034.00,8,FC COJASCA ,V PARCALABU,14,9,2,3,34,13,29,0.0010,29021034.00,,8,29021034,,8,FC COJASCA ,V PARCALABU,14,9,2,3,34,13,29,,,,,,,,,,,
33020032.00,9,RAPID FETESTI,P GROZEA,14,11,0,3,32,12,33,0.0011,33020032.00,,9,29014023,,9,FCEI MAI BUNI,A RADULESCU,14,8,5,1,23,9,29,,,,,,,,,,,
22004026.00,10,FC HERMANSTAR,A IONITA,14,7,1,6,26,22,22,0.0012,22004026.00,,10,28010030,,10,FC SONICS,B MILEA,14,9,1,4,30,20,28,,,,,,,,,,,
21003025.00,11,CHELSEA PITESTI,B FLUTUREL,14,6,3,5,25,22,21,0.0013,21003025.00,,11,25008020,,11,TUNETUL FC,TUNETUL FC,14,7,4,3,20,12,25,,,,,,,,,,,
34015027.00,12,FC PINALTY,L ALBU,14,11,1,2,27,12,34,0.0014,34015027.00,,12,23010028,,12,BOBA JUNIORS,S BOBEICA,14,7,2,5,28,18,23,,,,,,,,,,,
28010030.00,13,FC SONICS,B MILEA,14,9,1,4,30,20,28,0.0015,28010030.00,,13,22004026,,13,FC HERMANSTAR,A IONITA,14,7,1,6,26,22,22,,,,,,,,,,,
30008022.00,14,SILVA NEGRA,S CORNEANU,14,9,3,2,22,14,30,0.0016,30008022.00,,14,21007022,,14,R.A.F.A.,C MIHALA,14,6,3,5,22,15,21,,,,,,,,,,,
36029040.00,15,FC COLENTINA,M PANA,14,11,3,0,40,11,36,0.0017,36029040.00,,15,21003025,,15,CHELSEA PITESTI,B FLUTUREL,14,6,3,5,25,22,21,,,,,,,,,,,
21007022.00,16,R.A.F.A.,C MIHALA,14,6,3,5,22,15,21,0.0018,21007022.00,,16,19006030,,16,FC WIN MASTER,B GHEORGHE,14,4,7,3,30,24,19,,,,,,,,,,,
