,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loc,Etapa a 1-a,Jucator,Meciuri,Victorii,Egaluri,Infrangeri,Golaveraj,,Puncte,,,,,,,Loc,Echipa,Jucător,M,V,E,Î,G,,Pct,,,,,Scorul Campionatului,,,,,,Etapa
37010031.00,1,TUNETUL FC,TUNETUL FC,23,10,7,6,31,21,37,0.0003,37010031.00,,1,55045072,,1,FC TORPILA BUCURESTI,R ENACHESCU,23,18,1,4,72,27,55,,,,,FC TORPILA BUCURESTI,,,,9-0,,18
43023047.00,2,BOBA JUNIORS,S BOBEICA,23,13,4,6,47,24,43,0.0004,43023047.00,,2,54040060,,2,FC COLENTINA,M PANA,23,16,6,1,60,20,54,,,,,,,,,,,
45019041.00,3,FCEI MAI BUNI,A RADULESCU,23,12,9,2,41,22,45,0.0005,45019041.00,,3,54026046,,3,FC PINALTY,L ALBU,23,17,3,3,46,20,54,,,,,,,,,,,
46029054.00,4,FLAKERS UTD,M CRACIUN,23,14,4,5,54,25,46,0.0006,46029054.00,,4,52020041,,4,SILVA NEGRA,S CORNEANU,23,16,4,3,41,21,52,,,,,,,,,,,
55045072.00,5,FC TORPILA BUCURESTI,R ENACHESCU,23,18,1,4,72,27,55,0.0007,55045072.00,,5,47026049,,5,RAPID FETESTI,P GROZEA,23,15,2,6,49,23,47,,,,,,,,,,,
36012046.00,6,FC WIN MASTER,B GHEORGHE,23,9,9,5,46,34,36,0.0008,36012046.00,,6,46029054,,6,FLAKERS UTD,M CRACIUN,23,14,4,5,54,25,46,,,,,,,,,,,
45027057.00,7,MIGHTY MELONS,N BADESCU,23,15,0,8,57,30,45,0.0009,45027057.00,,7,45027057,,7,MIGHTY MELONS,N BADESCU,23,15,0,8,57,30,45,,,,,,,,,,,
45027050.00,8,FC COJASCA ,V PARCALABU,23,14,3,6,50,23,45,0.0010,45027050.00,,8,45027050,,8,FC COJASCA ,V PARCALABU,23,14,3,6,50,23,45,,,,,,,,,,,
47026049.00,9,RAPID FETESTI,P GROZEA,23,15,2,6,49,23,47,0.0011,47026049.00,,9,45019041,,9,FCEI MAI BUNI,A RADULESCU,23,12,9,2,41,22,45,,,,,,,,,,,
43022051.00,10,FC HERMANSTAR,A IONITA,23,14,1,8,51,29,43,0.0012,43022051.00,,10,44021044,,10,R.A.F.A.,C MIHALA,23,13,5,5,44,23,44,,,,,,,,,,,
38006044.00,11,CHELSEA PITESTI,B FLUTUREL,23,11,5,7,44,38,38,0.0013,38006044.00,,11,43023047,,11,BOBA JUNIORS,S BOBEICA,23,13,4,6,47,24,43,,,,,,,,,,,
54026046.00,12,FC PINALTY,L ALBU,23,17,3,3,46,20,54,0.0014,54026046.00,,12,43022051,,12,FC HERMANSTAR,A IONITA,23,14,1,8,51,29,43,,,,,,,,,,,
41016047.00,13,FC SONICS,B MILEA,23,12,5,6,47,31,41,0.0015,41016047.00,,13,41016047,,13,FC SONICS,B MILEA,23,12,5,6,47,31,41,,,,,,,,,,,
52020041.00,14,SILVA NEGRA,S CORNEANU,23,16,4,3,41,21,52,0.0016,52020041.00,,14,38006044,,14,CHELSEA PITESTI,B FLUTUREL,23,11,5,7,44,38,38,,,,,,,,,,,
54040060.00,15,FC COLENTINA,M PANA,23,16,6,1,60,20,54,0.0017,54040060.00,,15,37010031,,15,TUNETUL FC,TUNETUL FC,23,10,7,6,31,21,37,,,,,,,,,,,
44021044.00,16,R.A.F.A.,C MIHALA,23,13,5,5,44,23,44,0.0018,44021044.00,,16,36012046,,16,FC WIN MASTER,B GHEORGHE,23,9,9,5,46,34,36,,,,,,,,,,,
