,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loc,Etapa a 1-a,Jucator,Meciuri,Victorii,Egaluri,Infrangeri,Golaveraj,,Puncte,,,,,,,Loc,Echipa,Jucător,M,V,E,Î,G,,Pct,,,,,Scorul Campionatului,,,,,,Etapa
29008025.00,1,TUNETUL FC,TUNETUL FC,18,8,5,5,25,17,29,0.0003,29008025.00,,1,45037059,,1,FC TORPILA BUCURESTI,R ENACHESCU,18,15,0,3,59,22,45,,,,,FC TORPILA BUCURESTI,,,,9-0,,18
33016036.00,2,BOBA JUNIORS,S BOBEICA,18,10,3,5,36,20,33,0.0004,33016036.00,,2,44023038,,2,FC PINALTY,L ALBU,18,14,2,2,38,15,44,,,,,,,,,,,
37015031.00,3,FCEI MAI BUNI,A RADULESCU,18,10,7,1,31,16,37,0.0005,37015031.00,,3,43033046,,3,FC COLENTINA,M PANA,18,13,4,1,46,13,43,,,,,,,,,,,
35021043.00,4,FLAKERS UTD,M CRACIUN,18,11,2,5,43,22,35,0.0006,35021043.00,,4,43027043,,4,RAPID FETESTI,P GROZEA,18,14,1,3,43,16,43,,,,,,,,,,,
45037059.00,5,FC TORPILA BUCURESTI,R ENACHESCU,18,15,0,3,59,22,45,0.0007,45037059.00,,5,42015030,,5,SILVA NEGRA,S CORNEANU,18,13,3,2,30,15,42,,,,,,,,,,,
27010037.00,6,FC WIN MASTER,B GHEORGHE,18,6,9,3,37,27,27,0.0008,27010037.00,,6,39028044,,6,FC COJASCA ,V PARCALABU,18,12,3,3,44,16,39,,,,,,,,,,,
36020045.00,7,MIGHTY MELONS,N BADESCU,18,12,0,6,45,25,36,0.0009,36020045.00,,7,38018040,,7,FC SONICS,B MILEA,18,12,2,4,40,22,38,,,,,,,,,,,
39028044.00,8,FC COJASCA ,V PARCALABU,18,12,3,3,44,16,39,0.0010,39028044.00,,8,37015031,,8,FCEI MAI BUNI,A RADULESCU,18,10,7,1,31,16,37,,,,,,,,,,,
43027043.00,9,RAPID FETESTI,P GROZEA,18,14,1,3,43,16,43,0.0011,43027043.00,,9,36020045,,9,MIGHTY MELONS,N BADESCU,18,12,0,6,45,25,36,,,,,,,,,,,
31015040.00,10,FC HERMANSTAR,A IONITA,18,10,1,7,40,25,31,0.0012,31015040.00,,10,35021043,,10,FLAKERS UTD,M CRACIUN,18,11,2,5,43,22,35,,,,,,,,,,,
27002034.00,11,CHELSEA PITESTI,B FLUTUREL,18,8,3,7,34,32,27,0.0013,27002034.00,,11,33016036,,11,BOBA JUNIORS,S BOBEICA,18,10,3,5,36,20,33,,,,,,,,,,,
44023038.00,12,FC PINALTY,L ALBU,18,14,2,2,38,15,44,0.0014,44023038.00,,12,31016035,,12,R.A.F.A.,C MIHALA,18,9,4,5,35,19,31,,,,,,,,,,,
38018040.00,13,FC SONICS,B MILEA,18,12,2,4,40,22,38,0.0015,38018040.00,,13,31015040,,13,FC HERMANSTAR,A IONITA,18,10,1,7,40,25,31,,,,,,,,,,,
42015030.00,14,SILVA NEGRA,S CORNEANU,18,13,3,2,30,15,42,0.0016,42015030.00,,14,29008025,,14,TUNETUL FC,TUNETUL FC,18,8,5,5,25,17,29,,,,,,,,,,,
43033046.00,15,FC COLENTINA,M PANA,18,13,4,1,46,13,43,0.0017,43033046.00,,15,27010037,,15,FC WIN MASTER,B GHEORGHE,18,6,9,3,37,27,27,,,,,,,,,,,
31016035.00,16,R.A.F.A.,C MIHALA,18,9,4,5,35,19,31,0.0018,31016035.00,,16,27002034,,16,CHELSEA PITESTI,B FLUTUREL,18,8,3,7,34,32,27,,,,,,,,,,,
