,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loc,Etapa a 1-a,Jucator,Meciuri,Victorii,Egaluri,Infrangeri,Golaveraj,,Puncte,,,,,,,Loc,Echipa,Jucător,M,V,E,Î,G,,Pct,,,,,Scorul Campionatului,,,,,,Etapa
41010032.00,1,TUNETUL FC,TUNETUL FC,26,11,8,7,32,22,41,0.0003,41010032.00,,1,64057085,,1,FC TORPILA BUCURESTI,R ENACHESCU,26,21,1,4,85,28,64,,,,,FC TORPILA BUCURESTI,,,,9-0,,18
52031056.00,2,BOBA JUNIORS,S BOBEICA,26,16,4,6,56,25,52,0.0004,52031056.00,,2,61047068,,2,FC COLENTINA,M PANA,26,18,7,1,68,21,61,,,,,,,,,,,
52023047.00,3,FCEI MAI BUNI,A RADULESCU,26,14,10,2,47,24,52,0.0005,52023047.00,,3,61030054,,3,FC PINALTY,L ALBU,26,19,4,3,54,24,61,,,,,,,,,,,
50029055.00,4,FLAKERS UTD,M CRACIUN,26,15,5,6,55,26,50,0.0006,50029055.00,,4,59026052,,4,SILVA NEGRA,S CORNEANU,26,18,5,3,52,26,59,,,,,,,,,,,
64057085.00,5,FC TORPILA BUCURESTI,R ENACHESCU,26,21,1,4,85,28,64,0.0007,64057085.00,,5,52031056,,5,BOBA JUNIORS,S BOBEICA,26,16,4,6,56,25,52,,,,,,,,,,,
45019055.00,6,FC WIN MASTER,B GHEORGHE,26,12,9,5,55,36,45,0.0008,45019055.00,,6,52027057,,6,RAPID FETESTI,P GROZEA,26,16,4,6,57,30,52,,,,,,,,,,,
49032066.00,7,MIGHTY MELONS,N BADESCU,26,16,1,9,66,34,49,0.0009,49032066.00,,7,52023047,,7,FCEI MAI BUNI,A RADULESCU,26,14,10,2,47,24,52,,,,,,,,,,,
51032060.00,8,FC COJASCA ,V PARCALABU,26,16,3,7,60,28,51,0.0010,51032060.00,,8,51032060,,8,FC COJASCA ,V PARCALABU,26,16,3,7,60,28,51,,,,,,,,,,,
52027057.00,9,RAPID FETESTI,P GROZEA,26,16,4,6,57,30,52,0.0011,52027057.00,,9,50029055,,9,FLAKERS UTD,M CRACIUN,26,15,5,6,55,26,50,,,,,,,,,,,
47022057.00,10,FC HERMANSTAR,A IONITA,26,15,2,9,57,35,47,0.0012,47022057.00,,10,50027053,,10,R.A.F.A.,C MIHALA,26,15,5,6,53,26,50,,,,,,,,,,,
47019057.00,11,CHELSEA PITESTI,B FLUTUREL,26,14,5,7,57,38,47,0.0013,47019057.00,,11,49032066,,11,MIGHTY MELONS,N BADESCU,26,16,1,9,66,34,49,,,,,,,,,,,
61030054.00,12,FC PINALTY,L ALBU,26,19,4,3,54,24,61,0.0014,61030054.00,,12,47022057,,12,FC HERMANSTAR,A IONITA,26,15,2,9,57,35,47,,,,,,,,,,,
44016047.00,13,FC SONICS,B MILEA,26,12,8,6,47,31,44,0.0015,44016047.00,,13,47019057,,13,CHELSEA PITESTI,B FLUTUREL,26,14,5,7,57,38,47,,,,,,,,,,,
59026052.00,14,SILVA NEGRA,S CORNEANU,26,18,5,3,52,26,59,0.0016,59026052.00,,14,45019055,,14,FC WIN MASTER,B GHEORGHE,26,12,9,5,55,36,45,,,,,,,,,,,
61047068.00,15,FC COLENTINA,M PANA,26,18,7,1,68,21,61,0.0017,61047068.00,,15,44016047,,15,FC SONICS,B MILEA,26,12,8,6,47,31,44,,,,,,,,,,,
50027053.00,16,R.A.F.A.,C MIHALA,26,15,5,6,53,26,50,0.0018,50027053.00,,16,41010032,,16,TUNETUL FC,TUNETUL FC,26,11,8,7,32,22,41,,,,,,,,,,,
