,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loc,Etapa a 1-a,Jucator,Meciuri,Victorii,Egaluri,Infrangeri,Golaveraj,,Puncte,,,,,,,Loc,Echipa,Jucător,M,V,E,Î,G,,Pct,,,,,Scorul Campionatului,,,,,,Etapa
25008022.00,1,TUNETUL FC,TUNETUL FC,15,7,4,4,22,14,25,0.0003,25008022.00,,1,37029040,,1,FC COLENTINA,M PANA,15,11,4,0,40,11,37,,,,,FC COJASCA,,,,8-0,,1
24010029.00,2,BOBA JUNIORS,S BOBEICA,15,7,3,5,29,19,24,0.0004,24010029.00,,2,37018030,,2,FC PINALTY,L ALBU,15,12,1,2,30,12,37,,,,,,,,,,,
32014025.00,3,FCEI MAI BUNI,A RADULESCU,15,9,5,1,25,11,32,0.0005,32014025.00,,3,36025046,,3,FC TORPILA BUCURESTI,R ENACHESCU,15,12,0,3,46,21,36,,,,,,,,,,,
32020037.00,4,FLAKERS UTD,M CRACIUN,15,10,2,3,37,17,32,0.0006,32020037.00,,4,36022034,,4,RAPID FETESTI,P GROZEA,15,12,0,3,34,12,36,,,,,,,,,,,
36025046.00,5,FC TORPILA BUCURESTI,R ENACHESCU,15,12,0,3,46,21,36,0.0007,36025046.00,,5,33009023,,5,SILVA NEGRA,S CORNEANU,15,10,3,2,23,14,33,,,,,,,,,,,
22008033.00,6,FC WIN MASTER,B GHEORGHE,15,5,7,3,33,25,22,0.0008,22008033.00,,6,32025040,,6,FC COJASCA ,V PARCALABU,15,10,2,3,40,15,32,,,,,,,,,,,
30018037.00,7,MIGHTY MELONS,N BADESCU,15,10,0,5,37,19,30,0.0009,30018037.00,,7,32020037,,7,FLAKERS UTD,M CRACIUN,15,10,2,3,37,17,32,,,,,,,,,,,
32025040.00,8,FC COJASCA ,V PARCALABU,15,10,2,3,40,15,32,0.0010,32025040.00,,8,32014025,,8,FCEI MAI BUNI,A RADULESCU,15,9,5,1,25,11,32,,,,,,,,,,,
36022034.00,9,RAPID FETESTI,P GROZEA,15,12,0,3,34,12,36,0.0011,36022034.00,,9,31012033,,9,FC SONICS,B MILEA,15,10,1,4,33,21,31,,,,,,,,,,,
22001026.00,10,FC HERMANSTAR,A IONITA,15,7,1,7,26,25,22,0.0012,22001026.00,,10,30018037,,10,MIGHTY MELONS,N BADESCU,15,10,0,5,37,19,30,,,,,,,,,,,
21001028.00,11,CHELSEA PITESTI,B FLUTUREL,15,6,3,6,28,27,21,0.0013,21001028.00,,11,25008022,,11,TUNETUL FC,TUNETUL FC,15,7,4,4,22,14,25,,,,,,,,,,,
37018030.00,12,FC PINALTY,L ALBU,15,12,1,2,30,12,37,0.0014,37018030.00,,12,24010029,,12,BOBA JUNIORS,S BOBEICA,15,7,3,5,29,19,24,,,,,,,,,,,
31012033.00,13,FC SONICS,B MILEA,15,10,1,4,33,21,31,0.0015,31012033.00,,13,24010025,,13,R.A.F.A.,C MIHALA,15,7,3,5,25,15,24,,,,,,,,,,,
33009023.00,14,SILVA NEGRA,S CORNEANU,15,10,3,2,23,14,33,0.0016,33009023.00,,14,22008033,,14,FC WIN MASTER,B GHEORGHE,15,5,7,3,33,25,22,,,,,,,,,,,
37029040.00,15,FC COLENTINA,M PANA,15,11,4,0,40,11,37,0.0017,37029040.00,,15,22001026,,15,FC HERMANSTAR,A IONITA,15,7,1,7,26,25,22,,,,,,,,,,,
24010025.00,16,R.A.F.A.,C MIHALA,15,7,3,5,25,15,24,0.0018,24010025.00,,16,21001028,,16,CHELSEA PITESTI,B FLUTUREL,15,6,3,6,28,27,21,,,,,,,,,,,
