,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loc,Etapa a 1-a,Jucator,Meciuri,Victorii,Egaluri,Infrangeri,Golaveraj,,Puncte,,,,,,,Loc,Echipa,Jucător,M,V,E,Î,G,,Pct,,,,,Scorul Campionatului,,,,,,Etapa
37011031.00,1,TUNETUL FC,TUNETUL FC,22,10,7,5,31,20,37,0.0003,37011031.00,,1,55046071,,1,FC TORPILA BUCURESTI,R ENACHESCU,22,18,1,3,71,25,55,,,,,FC TORPILA BUCURESTI,,,,9-0,,18
40020044.00,2,BOBA JUNIORS,S BOBEICA,22,12,4,6,44,24,40,0.0004,40020044.00,,2,53040059,,2,FC COLENTINA,M PANA,22,16,5,1,59,19,53,,,,,,,,,,,
44019040.00,3,FCEI MAI BUNI,A RADULESCU,22,12,8,2,40,21,44,0.0005,44019040.00,,3,53026046,,3,FC PINALTY,L ALBU,22,17,2,3,46,20,53,,,,,,,,,,,
45029054.00,4,FLAKERS UTD,M CRACIUN,22,14,3,5,54,25,45,0.0006,45029054.00,,4,51020040,,4,SILVA NEGRA,S CORNEANU,22,16,3,3,40,20,51,,,,,,,,,,,
55046071.00,5,FC TORPILA BUCURESTI,R ENACHESCU,22,18,1,3,71,25,55,0.0007,55046071.00,,5,46026048,,5,RAPID FETESTI,P GROZEA,22,15,1,6,48,22,46,,,,,,,,,,,
33009043.00,6,FC WIN MASTER,B GHEORGHE,22,8,9,5,43,34,33,0.0008,33009043.00,,6,45029054,,6,FLAKERS UTD,M CRACIUN,22,14,3,5,54,25,45,,,,,,,,,,,
45028056.00,7,MIGHTY MELONS,N BADESCU,22,15,0,7,56,28,45,0.0009,45028056.00,,7,45028056,,7,MIGHTY MELONS,N BADESCU,22,15,0,7,56,28,45,,,,,,,,,,,
42025048.00,8,FC COJASCA ,V PARCALABU,22,13,3,6,48,23,42,0.0010,42025048.00,,8,44019040,,8,FCEI MAI BUNI,A RADULESCU,22,12,8,2,40,21,44,,,,,,,,,,,
46026048.00,9,RAPID FETESTI,P GROZEA,22,15,1,6,48,22,46,0.0011,46026048.00,,9,42025048,,9,FC COJASCA ,V PARCALABU,22,13,3,6,48,23,42,,,,,,,,,,,
40020049.00,10,FC HERMANSTAR,A IONITA,22,13,1,8,49,29,40,0.0012,40020049.00,,10,41019041,,10,R.A.F.A.,C MIHALA,22,12,5,5,41,22,41,,,,,,,,,,,
37006043.00,11,CHELSEA PITESTI,B FLUTUREL,22,11,4,7,43,37,37,0.0013,37006043.00,,11,40020049,,11,FC HERMANSTAR,A IONITA,22,13,1,8,49,29,40,,,,,,,,,,,
53026046.00,12,FC PINALTY,L ALBU,22,17,2,3,46,20,53,0.0014,53026046.00,,12,40020044,,12,BOBA JUNIORS,S BOBEICA,22,12,4,6,44,24,40,,,,,,,,,,,
40016046.00,13,FC SONICS,B MILEA,22,12,4,6,46,30,40,0.0015,40016046.00,,13,40016046,,13,FC SONICS,B MILEA,22,12,4,6,46,30,40,,,,,,,,,,,
51020040.00,14,SILVA NEGRA,S CORNEANU,22,16,3,3,40,20,51,0.0016,51020040.00,,14,37011031,,14,TUNETUL FC,TUNETUL FC,22,10,7,5,31,20,37,,,,,,,,,,,
53040059.00,15,FC COLENTINA,M PANA,22,16,5,1,59,19,53,0.0017,53040059.00,,15,37006043,,15,CHELSEA PITESTI,B FLUTUREL,22,11,4,7,43,37,37,,,,,,,,,,,
41019041.00,16,R.A.F.A.,C MIHALA,22,12,5,5,41,22,41,0.0018,41019041.00,,16,33009043,,16,FC WIN MASTER,B GHEORGHE,22,8,9,5,43,34,33,,,,,,,,,,,
