,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loc,Etapa a 1-a,Jucator,Meciuri,Victorii,Egaluri,Infrangeri,Golaveraj,,Puncte,,,,,,,Loc,Echipa,Jucător,M,V,E,Î,G,,Pct,,,,,Scorul Campionatului,,,,,,Etapa
31008026.00,1,TUNETUL FC,TUNETUL FC,20,8,7,5,26,18,31,0.0003,31008026.00,,1,51044068,,1,FC TORPILA BUCURESTI,R ENACHESCU,20,17,0,3,68,24,51,,,,,FC TORPILA BUCURESTI,,,,9-0,,18
37019040.00,2,BOBA JUNIORS,S BOBEICA,20,11,4,5,40,21,37,0.0004,37019040.00,,2,49036051,,2,FC COLENTINA,M PANA,20,15,4,1,51,15,49,,,,,,,,,,,
41018036.00,3,FCEI MAI BUNI,A RADULESCU,20,11,8,1,36,18,41,0.0005,41018036.00,,3,47023042,,3,FC PINALTY,L ALBU,20,15,2,3,42,19,47,,,,,,,,,,,
39024047.00,4,FLAKERS UTD,M CRACIUN,20,12,3,5,47,23,39,0.0006,39024047.00,,4,45016034,,4,SILVA NEGRA,S CORNEANU,20,14,3,3,34,18,45,,,,,,,,,,,
51044068.00,5,FC TORPILA BUCURESTI,R ENACHESCU,20,17,0,3,68,24,51,0.0007,51044068.00,,5,43024043,,5,RAPID FETESTI,P GROZEA,20,14,1,5,43,19,43,,,,,,,,,,,
30009039.00,6,FC WIN MASTER,B GHEORGHE,20,7,9,4,39,30,30,0.0008,30009039.00,,6,41018036,,6,FCEI MAI BUNI,A RADULESCU,20,11,8,1,36,18,41,,,,,,,,,,,
39021048.00,7,MIGHTY MELONS,N BADESCU,20,13,0,7,48,27,39,0.0009,39021048.00,,7,39024047,,7,FLAKERS UTD,M CRACIUN,20,12,3,5,47,23,39,,,,,,,,,,,
39024045.00,8,FC COJASCA ,V PARCALABU,20,12,3,5,45,21,39,0.0010,39024045.00,,8,39024045,,8,FC COJASCA ,V PARCALABU,20,12,3,5,45,21,39,,,,,,,,,,,
43024043.00,9,RAPID FETESTI,P GROZEA,20,14,1,5,43,19,43,0.0011,43024043.00,,9,39021048,,9,MIGHTY MELONS,N BADESCU,20,13,0,7,48,27,39,,,,,,,,,,,
34014042.00,10,FC HERMANSTAR,A IONITA,20,11,1,8,42,28,34,0.0012,34014042.00,,10,39017042,,10,FC SONICS,B MILEA,20,12,3,5,42,25,39,,,,,,,,,,,
33004039.00,11,CHELSEA PITESTI,B FLUTUREL,20,10,3,7,39,35,33,0.0013,33004039.00,,11,37019040,,11,BOBA JUNIORS,S BOBEICA,20,11,4,5,40,21,37,,,,,,,,,,,
47023042.00,12,FC PINALTY,L ALBU,20,15,2,3,42,19,47,0.0014,47023042.00,,12,37018039,,12,R.A.F.A.,C MIHALA,20,11,4,5,39,21,37,,,,,,,,,,,
39017042.00,13,FC SONICS,B MILEA,20,12,3,5,42,25,39,0.0015,39017042.00,,13,34014042,,13,FC HERMANSTAR,A IONITA,20,11,1,8,42,28,34,,,,,,,,,,,
45016034.00,14,SILVA NEGRA,S CORNEANU,20,14,3,3,34,18,45,0.0016,45016034.00,,14,33004039,,14,CHELSEA PITESTI,B FLUTUREL,20,10,3,7,39,35,33,,,,,,,,,,,
49036051.00,15,FC COLENTINA,M PANA,20,15,4,1,51,15,49,0.0017,49036051.00,,15,31008026,,15,TUNETUL FC,TUNETUL FC,20,8,7,5,26,18,31,,,,,,,,,,,
37018039.00,16,R.A.F.A.,C MIHALA,20,11,4,5,39,21,37,0.0018,37018039.00,,16,30009039,,16,FC WIN MASTER,B GHEORGHE,20,7,9,4,39,30,30,,,,,,,,,,,
